doctor_name,specialty,available_timings
Dr. John Smith,Cardiologist,10:00 AM - 1:00 PM
Dr. Emily Davis,Dermatologist,2:00 PM - 5:00 PM
Dr. Michael Brown,Orthopedic,9:00 AM - 12:00 PM
Dr. Sarah Johnson,Pediatrician,1:00 PM - 4:00 PM
Dr. Daniel Lee,Neurologist,11:00 AM - 2:00 PM
Dr. Olivia Martinez,Ophthalmologist,3:00 PM - 6:00 PM
Dr. William Garcia,ENT Specialist,8:00 AM - 11:00 AM
Dr. Ava Wilson,Psychiatrist,1:00 PM - 3:00 PM
Dr. James White,Endocrinologist,10:00 AM - 12:00 PM
Dr. Sophia Taylor,Gastroenterologist,2:00 PM - 4:00 PM
